,added_date,estimated_duration,start_date,end_date,real_duration,returns,software,dev,squad,client,status
1659,2017-11-23,1,2017-11-28,2017-11-28,1,0,E,Brenda,Kappa,Barbosa - EI,Concluído
1660,2017-11-23,11,2018-01-12,2018-01-26,11,0,E,Lara,Kappa,Ribeiro,Concluído
1661,2017-11-23,15,2017-12-22,2018-01-05,11,0,C,Ana Clara,Epsilon,da Luz - EI,Concluído
1662,2017-11-23,16,2018-02-12,2018-02-23,10,0,E,Carolina,Zeta,Barbosa e Filhos,Concluído
1663,2017-11-23,19,2018-02-09,2018-02-19,7,2,G,Carolina,Epsilon,da Cruz Farias - ME,Concluído
1664,2017-11-23,18,2017-12-14,2017-12-29,12,0,E,Ana Clara,Kappa,das Neves,Concluído
1665,2017-11-24,17,2017-11-29,2017-12-22,18,0,D,Ana Clara,Kappa,Silva e Filhos,Concluído
1666,2017-11-24,8,2018-02-06,2018-02-14,7,1,G,Maria Eduarda,Epsilon,Araújo,Concluído
1667,2017-11-24,11,2017-12-15,2017-12-22,6,0,G,Ana Clara,Kappa,da Cruz,Concluído
1668,2017-11-24,12,2017-12-08,2017-12-15,6,1,F,Valentina,Epsilon,Cardoso da Mota S/A,Concluído
1669,2017-11-24,16,2017-12-15,2017-12-29,11,1,F,Mirella,Epsilon,Ribeiro,Concluído
1670,2017-11-24,20,2017-12-27,2018-01-05,8,3,E,Mirella,Epsilon,Oliveira,Concluído
1671,2017-11-24,18,2018-01-19,2018-02-06,13,0,F,Carolina,Kappa,Cavalcanti,Concluído
1672,2017-11-24,6,2017-12-01,2017-12-08,6,0,C,Brenda,Theta,Moraes S/A,Concluído
1673,2017-11-24,2,2018-01-02,2018-01-03,2,0,F,Ana Clara,Epsilon,Monteiro,Concluído
1674,2017-11-24,5,2017-11-27,2017-12-01,5,0,B,Lara,Chi,Fernandes,Concluído
1675,2017-11-24,18,2018-02-22,2018-03-02,7,2,D,Brenda,Kappa,Barbosa Moura - EI,Concluído
1676,2017-11-24,13,2017-11-24,2017-12-11,12,0,E,Brenda,Kappa,Ramos Jesus S.A.,Concluído
1677,2017-11-24,13,2018-02-08,2018-02-26,13,2,B,Mirella,Epsilon,Aragão,Concluído
1678,2017-11-24,5,2017-11-30,2017-12-01,2,0,G,Brenda,Theta,Fernandes,Concluído
1679,2017-11-24,20,2018-02-08,2018-02-23,12,1,D,Brenda,Kappa,Rodrigues,Concluído
1680,2017-11-27,8,2018-01-18,2018-01-26,7,1,A,Ana Clara,Kappa,Martins,Concluído
1681,2017-11-27,18,2018-02-19,2018-03-05,11,0,C,Maria Eduarda,Epsilon,Aragão,Concluído
1682,2017-11-27,13,2018-01-25,2018-02-12,13,0,F,Mirella,Kappa,da Rosa,Concluído
1683,2017-11-27,15,2017-11-30,2017-12-21,16,0,E,Brenda,Theta,das Neves,Concluído
1684,2017-11-27,6,2018-01-25,2018-02-02,7,0,C,Lara,Kappa,da Cruz Cunha - EI,Concluído
1685,2017-11-28,4,2018-01-05,2018-01-08,2,0,C,Maria Eduarda,Kappa,Almeida,Concluído
1686,2017-11-28,8,2018-02-22,2018-03-02,7,0,A,Ana Clara,Kappa,Cardoso,Concluído
1687,2017-11-28,10,2018-02-16,2018-02-27,8,0,E,Valentina,Epsilon,Almeida Carvalho S.A.,Concluído
1688,2017-11-29,15,2018-02-02,2018-02-15,10,0,E,Mirella,Kappa,Nogueira,Concluído
1689,2017-11-29,6,2017-11-29,2017-12-07,7,1,C,Valentina,Kappa,Ramos,Concluído
1690,2017-11-29,12,2018-01-19,2018-02-01,10,3,B,Maria Eduarda,Kappa,Santos S.A.,Concluído
1691,2017-11-30,11,2017-12-01,2017-12-15,11,2,A,Mirella,Epsilon,Santos S.A.,Concluído
1692,2017-11-30,16,2018-02-14,2018-03-09,18,3,D,Agatha,Kappa,Farias,Concluído
1693,2017-11-30,15,2018-01-05,2018-01-18,10,0,A,Brenda,Epsilon,Araújo,Concluído
1694,2017-11-30,3,2018-02-22,2018-02-23,2,0,A,Carolina,Zeta,da Rosa,Concluído
1695,2017-11-30,6,2017-12-08,2017-12-12,3,0,D,Agatha,Kappa,Oliveira,Concluído
1696,2017-11-30,3,2017-12-29,2018-01-01,2,1,A,Agatha,Kappa,Silva e Filhos,Concluído
1697,2017-11-30,14,2018-02-02,2018-02-16,11,0,A,Helena,Kappa,Duarte Teixeira - ME,Concluído
1698,2017-12-01,12,2017-12-01,2017-12-11,7,0,B,Emanuelly,Epsilon,Araújo,Concluído
1699,2017-12-01,6,2017-12-05,2017-12-11,5,2,D,Carolina,Epsilon,Fernandes,Concluído
1700,2017-12-01,16,2018-01-15,2018-02-02,15,2,E,Maria Eduarda,Theta,Azevedo,Concluído
1701,2017-12-01,12,2018-01-05,2018-01-17,9,0,B,Valentina,Theta,Jesus Costa e Filhos,Concluído
1702,2017-12-01,17,2018-02-09,2018-02-19,7,0,C,Carolina,Kappa,Cunha,Concluído
1703,2017-12-01,9,2017-12-20,2017-12-29,8,1,C,Maria Eduarda,Epsilon,Silva Vieira Ltda.,Concluído
1704,2017-12-01,6,2018-02-26,2018-03-02,5,1,C,Lara,Theta,Cardoso,Concluído
1705,2017-12-01,1,2017-12-12,2017-12-12,1,0,A,Maria Eduarda,Kappa,Silveira Nunes - EI,Concluído
1706,2017-12-01,3,2018-01-26,2018-01-29,2,0,D,Carolina,Theta,Jesus,Concluído
1707,2017-12-01,7,2017-12-07,2017-12-15,7,2,C,Ana Clara,Kappa,Duarte Melo Ltda.,Concluído
1708,2017-12-01,1,2018-01-03,2018-01-03,1,1,D,Lara,Kappa,da Luz - EI,Concluído
1709,2017-12-01,17,2018-01-05,2018-01-19,11,0,G,Carolina,Kappa,Melo Silva e Filhos,Concluído
1710,2017-12-01,8,2018-01-18,2018-01-29,8,1,C,Brenda,Kappa,Cunha,Concluído
1711,2017-12-04,9,2018-01-19,2018-01-29,7,0,G,Helena,Theta,da Cruz Cunha - EI,Concluído
1712,2017-12-04,18,2018-02-22,2018-03-13,14,1,A,Maria Eduarda,Kappa,Ferreira da Cunha S/A,Concluído
1713,2017-12-04,10,2018-01-01,2018-01-10,8,0,A,Brenda,Kappa,Farias,Concluído
1714,2017-12-05,17,2018-01-10,2018-02-01,17,0,F,Mirella,Theta,Martins - EI,Concluído
1715,2017-12-05,4,2017-12-18,2017-12-21,4,0,B,Maria Eduarda,Epsilon,Azevedo S/A,Concluído
1716,2017-12-05,8,2017-12-29,2018-01-09,8,0,E,Mirella,Zeta,Caldeira,Concluído
1717,2017-12-06,13,2018-02-01,2018-02-16,12,3,C,Helena,Theta,Silveira Nunes - EI,Concluído
1718,2017-12-06,8,2018-02-01,2018-02-09,7,0,D,Helena,Kappa,Barbosa e Filhos,Concluído
1719,2017-12-06,1,2018-02-02,2018-02-02,1,1,G,Brenda,Theta,Melo Silva e Filhos,Concluído
1720,2017-12-07,3,2018-01-17,2018-01-19,3,3,D,Carolina,Kappa,Moura,Concluído
1721,2017-12-07,12,2018-03-02,2018-03-09,6,0,F,Maria Eduarda,Epsilon,Alves Peixoto e Filhos,Concluído
1722,2017-12-08,15,2018-01-03,2018-01-19,13,3,A,Mirella,Epsilon,das Neves,Concluído
1723,2017-12-08,12,2017-12-15,2017-12-28,10,1,C,Lara,Kappa,Monteiro,Concluído
1724,2017-12-08,7,2018-01-10,2018-01-12,3,0,E,Ana Clara,Kappa,Cardoso,Concluído
1725,2017-12-08,3,2018-02-01,2018-02-02,2,0,E,Brenda,Epsilon,Carvalho Oliveira - ME,Concluído
1726,2017-12-08,1,2018-03-07,2018-03-07,1,1,G,Brenda,Epsilon,Sales,Concluído
1727,2017-12-08,11,2018-01-24,2018-02-08,12,0,B,Emanuelly,Epsilon,da Cunha,Concluído
1728,2017-12-08,20,2017-12-28,2018-01-17,15,0,G,Helena,Epsilon,Silveira Mendes S.A.,Concluído
1729,2017-12-08,10,2018-02-02,2018-02-15,10,0,E,Carolina,Epsilon,Castro e Filhos,Concluído
1730,2017-12-08,12,2018-02-23,2018-03-09,11,0,D,Valentina,Theta,Peixoto,Concluído
1731,2017-12-08,16,2018-01-23,2018-02-02,9,0,B,Agatha,Zeta,Martins e Filhos,Concluído
1732,2017-12-11,19,2018-01-01,2018-01-17,13,0,C,Emanuelly,Theta,Cavalcanti e Filhos,Concluído
1733,2017-12-11,9,2018-03-09,2018-03-16,6,0,B,Emanuelly,Theta,Silva Vieira Ltda.,Concluído
1734,2017-12-11,9,2017-12-20,2017-12-29,8,0,E,Ana Clara,Theta,da Cruz,Concluído
1735,2017-12-12,13,2018-02-20,2018-02-28,7,0,B,Agatha,Zeta,da Cunha,Concluído
1736,2017-12-12,15,2018-01-19,2018-01-26,6,0,F,Emanuelly,Kappa,Aragão - EI,Concluído
1737,2017-12-13,13,2018-01-05,2018-01-16,8,1,E,Mirella,Epsilon,Rocha,Concluído
1738,2017-12-13,15,2018-01-04,2018-01-19,12,0,F,Maria Eduarda,Chi,Melo Cardoso Ltda.,Concluído
1739,2017-12-13,7,2018-02-02,2018-02-09,6,0,F,Emanuelly,Theta,Melo,Concluído
1740,2017-12-14,9,2018-01-12,2018-01-25,10,3,A,Agatha,Epsilon,Rezende Ltda.,Concluído
1741,2017-12-14,16,2018-01-30,2018-02-09,9,0,B,Agatha,Theta,Pereira,Concluído
1742,2017-12-14,19,2018-01-30,2018-02-23,19,1,F,Carolina,Theta,da Costa,Concluído
1743,2017-12-15,8,2018-01-12,2018-01-19,6,2,A,Agatha,Kappa,Sales,Concluído
1744,2017-12-15,10,2018-01-19,2018-01-26,6,1,B,Ana Clara,Epsilon,Gonçalves da Cunha S/A,Concluído
1745,2017-12-15,17,2018-01-25,2018-02-06,9,1,D,Agatha,Chi,da Cunha Fogaça - EI,Concluído
1746,2017-12-15,3,2018-03-09,2018-03-13,3,0,B,Emanuelly,Zeta,Duarte,Concluído
1747,2017-12-15,14,2018-02-05,2018-02-13,7,0,E,Agatha,Epsilon,Vieira,Concluído
1748,2017-12-15,20,2018-02-19,2018-03-01,9,0,F,Valentina,Theta,Cunha S/A,Concluído
1749,2017-12-15,5,2018-02-05,2018-02-09,5,0,G,Carolina,Theta,Martins,Concluído
1750,2017-12-15,6,2017-12-26,2018-01-02,6,2,E,Ana Clara,Epsilon,Ribeiro,Concluído
1751,2017-12-15,8,2018-01-04,2018-01-15,8,0,E,Mirella,Epsilon,Costa,Concluído
1752,2017-12-15,13,2017-12-21,2017-12-29,7,0,F,Lara,Epsilon,Silveira Fernandes S.A.,Concluído
1753,2017-12-15,14,2018-03-06,2018-03-13,6,0,F,Maria Eduarda,Epsilon,Gonçalves Pinto - ME,Concluído
1754,2017-12-15,3,2018-02-02,2018-02-02,1,0,G,Ana Clara,Theta,Nunes,Concluído
1755,2017-12-15,17,2018-02-22,2018-03-09,12,0,C,Emanuelly,Epsilon,Lopes Moura S/A,Concluído
1756,2017-12-15,11,2018-02-22,2018-02-27,4,0,C,Brenda,Epsilon,Gonçalves da Cunha S/A,Concluído
1757,2017-12-15,19,2018-02-16,2018-03-01,10,0,F,Lara,Kappa,Viana da Rocha S/A,Concluído
1758,2017-12-15,20,2018-02-09,2018-03-02,16,0,G,Agatha,Kappa,Martins,Concluído
1759,2017-12-18,13,2017-12-27,2018-01-12,13,0,B,Brenda,Kappa,Jesus,Concluído
1760,2017-12-18,3,2018-03-02,2018-03-02,1,0,A,Maria Eduarda,Epsilon,Alves Duarte Ltda.,Concluído
1761,2017-12-18,17,2017-12-20,2018-01-12,18,0,B,Ana Clara,Kappa,Mendes,Concluído
1762,2017-12-19,9,2018-01-31,2018-02-07,6,0,C,Brenda,Theta,Melo,Concluído
1763,2017-12-19,13,2017-12-21,2017-12-27,5,0,B,Mirella,Epsilon,Peixoto,Concluído
1764,2017-12-19,16,2018-02-01,2018-02-14,10,0,F,Lara,Epsilon,da Cunha,Concluído
1765,2017-12-19,3,2018-02-16,2018-02-16,1,0,A,Mirella,Kappa,da Costa,Concluído
1766,2017-12-19,17,2017-12-29,2018-01-24,19,3,E,Carolina,Kappa,Vieira,Concluído
1767,2017-12-19,9,2018-02-15,2018-02-27,9,2,G,Valentina,Theta,Fernandes,Concluído
1768,2017-12-19,19,2018-02-02,2018-03-02,21,0,F,Mirella,Epsilon,Dias da Luz S.A.,Concluído
1769,2017-12-20,8,2018-01-16,2018-01-24,7,1,D,Helena,Theta,Peixoto,Concluído
1770,2017-12-20,1,2018-02-20,2018-02-20,1,0,A,Ana Clara,Epsilon,Castro S/A,Concluído
1771,2017-12-20,18,2018-01-11,2018-01-22,8,0,F,Lara,Kappa,Nascimento Viana - ME,Concluído
1772,2017-12-20,7,2018-03-14,2018-03-16,3,0,E,Valentina,Kappa,Campos S.A.,Concluído
1773,2017-12-20,2,2018-01-17,2018-01-19,3,2,G,Brenda,Epsilon,Martins,Concluído
1774,2017-12-21,9,2018-01-23,2018-02-02,9,3,E,Maria Eduarda,Epsilon,Pereira,Concluído
1775,2017-12-21,9,2018-02-23,2018-03-09,11,0,A,Emanuelly,Kappa,Alves Peixoto e Filhos,Concluído
1776,2017-12-21,1,2017-12-22,2017-12-22,1,1,C,Valentina,Kappa,Silveira Fernandes S.A.,Concluído
1777,2017-12-21,20,2018-01-05,2018-01-18,10,0,D,Maria Eduarda,Epsilon,Vieira,Concluído
1778,2017-12-22,15,2018-02-20,2018-03-02,9,0,D,Ana Clara,Theta,Cardoso,Concluído
1779,2017-12-22,15,2018-02-23,2018-03-09,11,1,A,Valentina,Chi,Moura,Concluído
1780,2017-12-22,9,2018-01-23,2018-02-02,9,0,A,Valentina,Theta,Ribeiro,Concluído
1781,2017-12-22,9,2018-03-05,2018-03-16,10,0,B,Agatha,Kappa,Rezende,Concluído
1782,2017-12-22,16,2018-01-23,2018-02-02,9,2,F,Brenda,Theta,da Rocha,Concluído
1783,2017-12-22,16,2018-01-09,2018-01-17,7,3,B,Emanuelly,Kappa,Almeida da Conceição - EI,Concluído
1784,2017-12-22,11,2018-02-16,2018-02-26,7,0,F,Helena,Kappa,Duarte Melo Ltda.,Concluído
1785,2017-12-22,2,2018-01-08,2018-01-09,2,2,G,Valentina,Kappa,Melo Silva e Filhos,Concluído
1786,2017-12-22,6,2018-02-16,2018-02-20,3,3,F,Maria Eduarda,Epsilon,da Cunha Ltda.,Concluído
1787,2017-12-22,13,2018-01-12,2018-01-24,9,1,C,Lara,Epsilon,Ferreira da Cunha S/A,Concluído
1788,2017-12-22,15,2018-02-08,2018-02-15,6,0,C,Agatha,Kappa,Costa S/A,Concluído
1789,2017-12-22,1,2018-03-14,2018-03-14,1,0,G,Valentina,Kappa,Santos Gomes - ME,Concluído
1790,2017-12-22,10,2018-02-21,2018-02-28,6,3,C,Mirella,Theta,Aragão Fogaça S/A,Concluído
1791,2017-12-22,8,2017-12-22,2017-12-29,6,2,C,Valentina,Epsilon,Gomes,Concluído
1792,2017-12-22,16,2018-02-06,2018-02-16,9,2,F,Emanuelly,Epsilon,Cunha,Concluído
1793,2017-12-25,17,2018-01-05,2018-01-17,9,2,A,Helena,Theta,Correia,Concluído
1794,2017-12-25,2,2018-03-08,2018-03-09,2,2,B,Lara,Epsilon,da Cruz da Conceição Ltda.,Concluído
1795,2017-12-25,9,2018-02-16,2018-02-26,7,0,B,Helena,Epsilon,Pereira,Concluído
1796,2017-12-25,16,2018-01-12,2018-01-26,11,0,E,Emanuelly,Kappa,Souza - ME,Concluído
1797,2017-12-25,18,2018-01-09,2018-01-22,10,1,F,Emanuelly,Kappa,Teixeira S/A,Concluído
1798,2017-12-25,14,2018-01-24,2018-02-09,13,0,F,Lara,Epsilon,Aragão,Concluído
1799,2017-12-25,2,2018-02-22,2018-02-23,2,0,C,Valentina,Epsilon,Almeida,Concluído
1800,2017-12-25,13,2018-01-05,2018-01-12,6,0,F,Maria Eduarda,Zeta,Lima - ME,Concluído
1801,2017-12-26,2,2018-02-23,2018-02-23,1,1,C,Brenda,Kappa,Mendes Pereira S.A.,Concluído
1802,2017-12-26,6,2018-01-16,2018-01-24,7,2,C,Carolina,Epsilon,das Neves,Concluído
1803,2017-12-26,9,2018-02-06,2018-02-15,8,0,E,Carolina,Kappa,da Cunha,Concluído
1804,2017-12-27,15,2018-01-19,2018-01-30,8,2,D,Valentina,Chi,Fogaça Cardoso e Filhos,Concluído
1805,2017-12-27,17,2018-01-22,2018-02-09,15,0,A,Brenda,Theta,Correia,Concluído
1806,2017-12-27,17,2018-01-08,2018-01-17,8,0,B,Maria Eduarda,Kappa,da Cruz Cunha - EI,Concluído
1807,2017-12-27,19,2018-01-05,2018-01-19,11,1,B,Agatha,Theta,Dias,Concluído
1808,2017-12-27,3,2018-02-09,2018-02-12,2,0,D,Carolina,Kappa,Duarte Teixeira - ME,Concluído
1809,2017-12-27,19,2018-02-13,2018-03-02,14,0,E,Agatha,Epsilon,Caldeira,Concluído
1810,2017-12-27,4,2018-02-08,2018-02-09,2,1,E,Mirella,Epsilon,Sales,Concluído
1811,2017-12-28,8,2018-01-12,2018-01-17,4,0,E,Agatha,Kappa,Cavalcanti,Concluído
1812,2017-12-28,7,2018-01-30,2018-02-08,8,0,E,Emanuelly,Kappa,Viana da Rocha S/A,Concluído
1813,2017-12-28,16,2018-01-11,2018-01-25,11,0,G,Lara,Zeta,da Cruz Farias - ME,Concluído
1814,2017-12-28,5,2018-01-26,2018-02-02,6,0,D,Agatha,Theta,Campos Rezende - ME,Concluído
1815,2017-12-28,20,2018-03-08,2018-03-23,12,0,G,Lara,Kappa,Duarte S.A.,Concluído
1816,2017-12-28,20,2018-02-21,2018-03-05,9,1,F,Helena,Kappa,Dias da Luz S.A.,Concluído
1817,2017-12-28,10,2018-02-27,2018-03-06,6,1,B,Helena,Theta,Souza Ribeiro Ltda.,Concluído
1818,2017-12-28,6,2018-01-08,2018-01-16,7,3,F,Mirella,Kappa,Caldeira,Concluído
1819,2017-12-28,13,2018-01-05,2018-01-15,7,2,C,Ana Clara,Epsilon,Ferreira,Concluído
1820,2017-12-28,15,2018-02-16,2018-03-07,14,0,C,Mirella,Epsilon,Ferreira,Concluído
1821,2017-12-28,4,2018-02-09,2018-02-12,2,1,D,Carolina,Kappa,Viana da Rocha S/A,Concluído
1822,2017-12-28,12,2018-01-09,2018-01-16,6,0,C,Valentina,Kappa,Pereira,Concluído
1823,2017-12-29,2,2018-01-17,2018-01-19,3,0,F,Agatha,Kappa,Vieira,Concluído
1824,2017-12-29,18,2018-03-29,2018-04-20,17,0,F,Brenda,Theta,Gonçalves Pinto - ME,Concluído
1825,2017-12-29,9,2018-01-31,2018-02-07,6,0,D,Ana Clara,Epsilon,da Luz - EI,Concluído
1826,2017-12-29,18,2018-02-27,2018-03-23,19,1,E,Helena,Kappa,Gomes,Concluído
1827,2017-12-29,9,2018-01-25,2018-01-30,4,1,G,Helena,Kappa,Duarte Ltda.,Concluído
1828,2017-12-29,20,2018-02-15,2018-03-06,14,2,F,Mirella,Zeta,Rodrigues,Concluído
1829,2017-12-29,17,2018-03-02,2018-03-09,6,0,G,Emanuelly,Kappa,da Paz Ltda.,Concluído
1830,2017-12-29,11,2018-01-05,2018-01-18,10,0,C,Lara,Epsilon,Castro - ME,Concluído
1831,2017-12-29,7,2018-03-30,2018-04-06,6,0,E,Maria Eduarda,Theta,Rocha Jesus S/A,Concluído
1832,2017-12-29,7,2018-01-03,2018-01-09,5,1,G,Maria Eduarda,Kappa,Costa S/A,Concluído
1833,2017-12-29,14,2018-01-19,2018-02-07,14,0,B,Agatha,Epsilon,Costa,Concluído
1834,2017-12-29,16,2018-01-26,2018-02-15,15,2,G,Helena,Epsilon,Ferreira,Concluído
1835,2017-12-29,5,2018-03-12,2018-03-14,3,1,G,Valentina,Epsilon,Campos S.A.,Concluído
1836,2017-12-29,20,2018-01-16,2018-01-26,9,0,C,Brenda,Kappa,Monteiro,Concluído
1837,2017-12-29,10,2018-01-05,2018-01-12,6,1,F,Mirella,Kappa,Pinto,Concluído
1838,2017-12-29,11,2018-02-23,2018-03-05,7,2,F,Agatha,Kappa,Silveira Mendes S.A.,Concluído
1839,2017-12-29,10,2018-02-02,2018-02-15,10,0,C,Lara,Epsilon,Rocha,Concluído
1840,2017-12-29,1,2018-02-22,2018-02-22,1,0,A,Maria Eduarda,Epsilon,Cardoso da Mota S/A,Concluído
1841,2018-01-01,13,2018-01-19,2018-01-26,6,2,E,Brenda,Kappa,Araújo,Concluído
1842,2018-01-02,11,2018-02-01,2018-02-06,4,0,D,Ana Clara,Epsilon,Rezende,Concluído
1843,2018-01-02,18,2018-03-15,2018-04-05,16,0,C,Agatha,Kappa,Silveira S.A.,Concluído
1844,2018-01-02,4,2018-02-28,2018-03-02,3,0,B,Helena,Kappa,Rocha Jesus S/A,Concluído
1845,2018-01-02,17,2018-02-02,2018-02-23,16,0,F,Emanuelly,Epsilon,Barbosa - ME,Concluído
1846,2018-01-02,11,2018-03-30,2018-04-06,6,0,D,Ana Clara,Kappa,Martins - EI,Concluído
1847,2018-01-03,18,2018-03-05,2018-03-15,9,0,A,Emanuelly,Kappa,Santos Melo - EI,Concluído
1848,2018-01-03,1,2018-02-15,2018-02-15,1,0,B,Lara,Epsilon,da Cunha,Concluído
1849,2018-01-04,7,2018-03-27,2018-03-30,4,0,A,Helena,Kappa,Monteiro,Concluído
1850,2018-01-04,5,2018-04-02,2018-04-06,5,0,B,Agatha,Theta,Gonçalves Pinto - ME,Concluído
1851,2018-01-04,10,2018-03-08,2018-03-19,8,1,A,Emanuelly,Kappa,Vieira,Concluído
1852,2018-01-04,9,2018-03-15,2018-03-23,7,0,G,Agatha,Kappa,da Rocha Oliveira e Filhos,Concluído
1853,2018-01-04,11,2018-02-16,2018-02-23,6,0,A,Maria Eduarda,Kappa,Gomes,Concluído
1854,2018-01-04,3,2018-01-24,2018-01-26,3,2,C,Valentina,Kappa,Araújo,Concluído
1855,2018-01-04,16,2018-03-27,2018-04-10,11,1,F,Brenda,Zeta,Ferreira,Concluído
1856,2018-01-05,14,2018-02-19,2018-03-09,15,0,G,Mirella,Epsilon,Pereira,Concluído
1857,2018-01-05,7,2018-03-09,2018-03-16,6,0,E,Mirella,Epsilon,Silveira,Concluído
1858,2018-01-05,17,2018-04-02,2018-04-11,8,0,F,Carolina,Theta,Nascimento,Concluído
1859,2018-01-05,20,2018-01-09,2018-02-05,20,1,A,Mirella,Epsilon,Almeida da Mota - EI,Concluído
1860,2018-01-05,20,2018-02-06,2018-02-26,15,0,G,Ana Clara,Epsilon,Silveira S.A.,Concluído
1861,2018-01-05,14,2018-02-05,2018-02-23,15,0,G,Lara,Theta,da Rocha Oliveira e Filhos,Concluído
1862,2018-01-05,8,2018-01-24,2018-02-02,8,0,C,Lara,Epsilon,Sales,Concluído
1863,2018-01-05,4,2018-02-09,2018-02-14,4,1,B,Maria Eduarda,Kappa,Silveira S.A.,Concluído
1864,2018-01-05,9,2018-02-23,2018-03-02,6,0,D,Mirella,Kappa,Silva e Filhos,Concluído
1865,2018-01-05,12,2018-02-21,2018-03-09,13,0,G,Maria Eduarda,Kappa,Santos Nunes S/A,Concluído
1866,2018-01-05,4,2018-01-22,2018-01-24,3,1,D,Carolina,Theta,Silva,Concluído
1867,2018-01-05,7,2018-02-28,2018-03-02,3,3,F,Maria Eduarda,Kappa,da Cruz da Conceição Ltda.,Concluído
1868,2018-01-05,7,2018-01-11,2018-01-12,2,0,A,Agatha,Kappa,da Rosa,Concluído
1869,2018-01-05,17,2018-03-12,2018-03-27,12,0,A,Emanuelly,Kappa,Almeida da Mota - EI,Concluído
1870,2018-01-08,11,2018-03-30,2018-04-06,6,0,G,Helena,Kappa,Peixoto,Concluído
1871,2018-01-08,14,2018-03-28,2018-04-10,10,2,A,Brenda,Epsilon,Azevedo S/A,Concluído
1872,2018-01-08,3,2018-03-23,2018-03-23,1,0,G,Carolina,Kappa,Duarte Teixeira - ME,Concluído
1873,2018-01-09,14,2018-02-09,2018-02-26,12,0,D,Helena,Theta,Araújo Ltda.,Concluído
1874,2018-01-09,4,2018-02-09,2018-02-12,2,0,G,Maria Eduarda,Epsilon,Duarte S.A.,Concluído
1875,2018-01-09,6,2018-03-29,2018-04-06,7,0,G,Valentina,Kappa,Aragão,Concluído
1876,2018-01-09,1,2018-03-30,2018-03-30,1,0,C,Brenda,Kappa,Melo,Concluído
1877,2018-01-09,8,2018-02-06,2018-02-15,8,1,E,Emanuelly,Kappa,Lopes Moura S/A,Concluído
1878,2018-01-09,16,2018-03-30,2018-04-23,17,0,E,Maria Eduarda,Epsilon,Araújo,Concluído
1879,2018-01-09,10,2018-02-23,2018-03-06,8,3,G,Valentina,Kappa,Aragão,Concluído
1880,2018-01-09,1,2018-04-03,2018-04-03,1,1,B,Agatha,Kappa,Rezende Ltda.,Concluído
1881,2018-01-09,2,2018-02-16,2018-02-19,2,3,F,Ana Clara,Theta,Alves,Concluído
1882,2018-01-09,8,2018-01-31,2018-02-05,4,1,B,Helena,Epsilon,Peixoto,Concluído
1883,2018-01-10,18,2018-01-18,2018-02-02,12,1,C,Brenda,Epsilon,da Luz,Concluído
1884,2018-01-10,8,2018-04-03,2018-04-06,4,0,F,Carolina,Theta,Teixeira S/A,Concluído
1885,2018-01-10,3,2018-03-26,2018-03-28,3,2,G,Lara,Theta,Campos - ME,Concluído
1886,2018-01-11,20,2018-03-14,2018-03-30,13,0,A,Maria Eduarda,Epsilon,Rezende,Concluído
1887,2018-01-11,1,2018-03-02,2018-03-02,1,1,F,Emanuelly,Theta,da Cruz,Concluído
1888,2018-01-11,5,2018-03-23,2018-03-30,6,0,G,Maria Eduarda,Epsilon,Pinto,Concluído
1889,2018-01-11,3,2018-01-18,2018-01-19,2,0,C,Helena,Epsilon,Oliveira,Concluído
1890,2018-01-12,18,2018-04-02,2018-04-13,10,0,A,Agatha,Kappa,Melo,Concluído
1891,2018-01-12,17,2018-02-19,2018-03-13,17,0,G,Lara,Epsilon,Oliveira,Concluído
1892,2018-01-12,2,2018-02-26,2018-02-27,2,2,A,Mirella,Kappa,da Rocha,Concluído
1893,2018-01-12,20,2018-02-16,2018-03-02,11,0,B,Brenda,Kappa,Mendes Pereira S.A.,Concluído
1894,2018-01-12,16,2018-02-19,2018-02-27,7,2,D,Mirella,Epsilon,Oliveira,Concluído
1895,2018-01-12,2,2018-02-22,2018-02-23,2,1,A,Maria Eduarda,Epsilon,da Cruz Cunha - EI,Concluído
1896,2018-01-12,15,2018-01-26,2018-02-09,11,0,F,Ana Clara,Epsilon,Alves,Concluído
1897,2018-01-12,6,2018-04-09,2018-04-13,5,0,G,Carolina,Epsilon,da Luz - EI,Concluído
1898,2018-01-12,5,2018-03-19,2018-03-22,4,0,D,Valentina,Kappa,Fogaça Cardoso e Filhos,Concluído
1899,2018-01-12,12,2018-02-02,2018-02-08,5,0,A,Carolina,Kappa,Barbosa - EI,Concluído
1900,2018-01-15,3,2018-01-16,2018-01-19,4,0,E,Helena,Theta,Silveira Mendes S.A.,Concluído
1901,2018-01-15,10,2018-03-30,2018-04-12,10,0,B,Agatha,Kappa,Nunes,Concluído
1902,2018-01-15,17,2018-02-02,2018-02-12,7,2,G,Lara,Zeta,Nunes,Concluído
1903,2018-01-15,17,2018-01-26,2018-02-06,8,0,F,Ana Clara,Kappa,Aragão Fogaça S/A,Concluído
1904,2018-01-15,8,2018-01-23,2018-01-29,5,1,E,Maria Eduarda,Kappa,Santos S.A.,Concluído
1905,2018-01-15,18,2018-04-03,2018-04-17,11,0,A,Mirella,Chi,Ferreira,Concluído
1906,2018-01-16,12,2018-04-06,2018-04-19,10,0,A,Emanuelly,Theta,da Luz,Concluído
1907,2018-01-16,9,2018-04-02,2018-04-09,6,1,E,Emanuelly,Epsilon,Caldeira,Concluído
